DATE,PM10,PM2.5,O3,NO2,CO,SO2
02-01-01,38,15,0.016,0.028,0.6,0.003
02-01-02,35,15,0.018,0.024,0.6,0.003
02-01-03,38,14,0.018,0.023,0.6,0.003
02-01-04,36,15,0.017,0.024,0.6,0.003
02-01-05,41,18,0.015,0.028,0.6,0.004
02-01-06,39,14,0.007,0.038,0.7,0.003
02-01-07,41,16,0.002,0.046,0.7,0.004
02-01-08,41,16,0.002,0.050,0.7,0.004
02-01-09,37,17,0.004,0.049,0.8,0.005
02-01-10,43,17,0.009,0.044,0.8,0.005
02-01-11,35,,0.015,0.036,0.7,0.006
02-01-12,36,11,0.020,0.030,0.7,0.005
02-01-13,,,,,,
02-01-14,45,22,0.025,0.020,0.5,0.006
02-01-15,32,9,0.028,0.017,0.4,0.005
02-01-16,37,14,0.025,0.024,0.5,0.006
02-01-17,46,21,0.021,0.029,0.5,0.006
02-01-18,45,25,0.016,0.037,0.5,0.005
02-01-19,36,23,0.009,0.048,0.6,0.004
02-01-20,41,19,0.002,0.059,0.7,0.004
02-01-21,49,22,0.002,0.059,0.7,0.004
02-01-22,47,21,0.002,0.058,0.7,0.005
02-01-23,58,25,0.002,0.057,0.7,0.005
02-01-24,49,18,0.002,0.052,0.6,0.004
02-02-01,52,20,0.004,0.046,0.6,0.004
02-02-02,44,16,0.014,0.030,0.5,0.004
02-02-03,40,16,0.007,0.040,0.6,0.004
02-02-04,44,19,0.003,0.043,0.6,0.003
02-02-05,41,19,0.005,0.039,0.6,0.003
02-02-06,45,17,0.003,0.043,0.6,0.003
02-02-07,44,23,0.002,0.051,0.9,0.004
02-02-08,50,21,0.002,0.063,1.1,0.005
02-02-09,82,36,0.002,0.062,1.1,0.004
02-02-10,73,32,0.004,0.056,0.9,0.005
02-02-11,53,17,0.008,0.052,0.8,0.006
02-02-12,50,14,0.013,0.042,0.7,0.007
02-02-13,41,16,0.016,0.039,0.7,0.007
02-02-14,50,24,0.016,0.040,0.7,0.008
02-02-15,47,16,0.020,0.035,0.6,0.008
02-02-16,54,27,0.020,0.037,0.6,0.007
02-02-17,60,31,0.017,0.042,0.6,0.007
02-02-18,66,34,0.014,0.046,0.6,0.006
02-02-19,56,29,0.005,0.058,0.7,0.005
02-02-20,50,19,0.010,0.047,0.7,0.005
02-02-21,47,19,0.007,0.052,0.7,0.005
02-02-22,45,19,0.004,0.058,0.7,0.005
02-02-23,42,18,0.007,0.052,0.7,0.005
02-02-24,44,19,0.003,0.061,0.8,0.004
02-03-01,69,40,0.002,0.066,1.1,0.004
02-03-02,69,39,0.002,0.063,1.2,0.004
02-03-03,67,40,0.002,0.061,1.2,0.004
02-03-04,70,43,0.002,0.055,1.1,0.004
02-03-05,68,43,0.002,0.053,1.2,0.003
02-03-06,73,40,0.002,0.056,1.2,0.004
02-03-07,70,42,0.002,0.067,1.4,0.004
02-03-08,76,46,0.002,,1.6,0.005
02-03-09,83,46,0.002,,1.7,0.005
02-03-10,99,44,0.003,0.070,1.3,0.006
02-03-11,67,30,0.005,0.065,1.0,0.007
02-03-12,65,21,0.012,0.051,0.8,0.007
02-03-13,47,,0.025,0.030,0.6,0.006
02-03-14,55,15,0.025,0.030,0.6,0.006
02-03-15,60,22,0.030,0.027,0.6,0.007
02-03-16,62,25,0.032,0.026,0.6,0.008
02-03-17,60,27,0.033,0.026,0.6,0.007
02-03-18,63,31,0.027,0.033,0.6,0.006
02-03-19,42,26,0.012,0.053,0.7,0.005
02-03-20,43,20,0.003,0.067,0.9,0.006
02-03-21,58,31,0.002,0.068,0.9,0.006
02-03-22,55,29,0.002,0.069,0.9,0.006
02-03-23,55,25,0.002,0.070,1.0,0.005
02-03-24,47,22,0.002,0.067,0.9,0.005
02-04-01,52,22,0.003,0.061,0.9,0.005
02-04-02,57,34,0.002,0.062,1.1,0.005
02-04-03,71,42,0.002,0.062,1.3,0.004
02-04-04,66,47,0.002,0.057,1.4,0.004
02-04-05,70,45,0.002,0.056,1.3,0.004
02-04-06,66,42,0.002,0.055,1.2,0.004
02-04-07,74,47,0.002,0.058,1.2,0.004
02-04-08,66,40,0.002,0.057,1.1,0.004
02-04-09,59,35,0.002,0.061,1.2,0.004
02-04-10,69,42,0.005,0.058,1.1,0.004
02-04-11,62,28,0.009,0.050,1.0,0.005
02-04-12,57,26,0.012,0.048,1.0,0.007
02-04-13,56,29,0.020,0.040,0.9,0.008
02-04-14,52,25,0.030,0.024,0.8,0.008
02-04-15,74,22,0.029,0.029,0.8,0.009
02-04-16,75,25,0.028,0.032,0.7,0.008
02-04-17,97,36,0.025,0.036,0.7,0.007
02-04-18,77,29,0.020,0.039,0.7,0.006
02-04-19,58,23,0.016,0.044,0.7,0.005
