DATE,ACTIVITY
2022-03-11 13:51:00,On
2022-03-11 17:20:00,Off
2022-03-14 08:52:00,On
2022-03-14 15:25:00,Off
2022-03-16 13:01:00,On
2022-03-16 18:49:00,Off
2022-03-17 12:50:00,On
2022-03-17 17:49:00,Off
2022-03-18 13:06:00,On
2022-03-18 13:08:00,Off
2022-03-23 12:04:00,On
2022-03-24 09:07:00,Off
2022-03-25 16:39:00,On
2022-03-25 18:28:00,Off
2022-03-28 15:42:00,On
2022-03-28 22:33:00,Off
2022-04-09 17:42:00,On
2022-04-09 21:01:00,Off
2022-04-11 18:29:00,On
2022-04-11 20:04:00,Off
2022-04-12 11:49:00,On
2022-04-12 20:53:00,Off
