DATE,PERSON_NUMBER
2022-03-11 09:27:00,1
2022-03-11 09:46:00,2
2022-03-11 11:14:00,1
2022-03-11 11:14:00,0
2022-03-11 11:17:00,1
2022-03-11 11:23:00,0
2022-03-11 11:30:00,1
2022-03-11 11:30:00,2
2022-03-11 11:33:00,3
2022-03-11 11:44:00,2
2022-03-11 11:44:00,1
2022-03-11 11:44:00,0
2022-03-11 13:49:00,1
2022-03-11 13:49:00,2
2022-03-11 13:49:00,3
2022-03-11 13:49:00,2
2022-03-11 13:51:00,3
2022-03-11 14:15:00,2
2022-03-11 14:16:00,1
2022-03-11 14:19:00,2
2022-03-11 14:24:00,3
2022-03-11 15:47:00,2
2022-03-11 16:00:00,3
2022-03-11 16:16:00,2
2022-03-11 16:18:00,3
2022-03-11 17:30:00,2
2022-03-11 17:30:00,1
2022-03-11 17:39:00,2
2022-03-11 17:46:00,1
2022-03-11 17:51:00,0
2022-03-11 18:37:00,1
2022-03-11 18:37:00,2
2022-03-11 19:10:00,1
2022-03-11 19:19:00,0
2022-03-11 19:20:00,1
2022-03-11 21:45:00,0
2022-03-12 13:25:00,1
2022-03-12 14:47:00,0
2022-03-12 14:55:00,1
2022-03-12 15:59:00,0
2022-03-12 17:27:00,1
2022-03-12 19:23:00,0
2022-03-13 12:19:00,1
2022-03-13 13:46:00,0
2022-03-13 14:01:00,1
2022-03-13 15:22:00,0
2022-03-13 15:35:00,1
2022-03-13 16:13:00,0
2022-03-14 08:51:00,1
2022-03-14 08:52:00,0
2022-03-14 08:52:00,1
2022-03-14 08:59:00,2
2022-03-14 09:01:00,3
2022-03-14 10:14:00,2
2022-03-14 10:21:00,1
2022-03-14 10:32:00,2
2022-03-14 10:40:00,3
2022-03-14 12:01:00,2
2022-03-14 12:07:00,3
2022-03-14 12:07:00,2
2022-03-14 12:07:00,1
2022-03-14 12:30:00,2
2022-03-14 12:35:00,1
2022-03-14 12:36:00,0
2022-03-14 12:41:00,1
2022-03-14 12:41:00,2
2022-03-14 12:41:00,3
2022-03-14 13:26:00,4
2022-03-14 13:27:00,3
2022-03-14 13:36:00,2
2022-03-14 15:25:00,1
2022-03-14 15:28:00,2
2022-03-14 15:55:00,3
2022-03-14 16:52:00,2
2022-03-14 16:52:00,1
2022-03-14 16:56:00,2
2022-03-14 16:56:00,3
2022-03-14 17:33:00,2
2022-03-14 17:33:00,1
2022-03-14 17:33:00,0
2022-03-14 19:37:00,1
2022-03-14 19:37:00,2
2022-03-14 19:37:00,3
2022-03-14 19:43:00,2
2022-03-14 19:45:00,3
2022-03-14 20:12:00,2
2022-03-14 20:20:00,3
2022-03-14 21:12:00,2
2022-03-14 21:12:00,1
2022-03-14 21:12:00,0
2022-03-15 09:40:00,1
2022-03-15 10:09:00,2
2022-03-15 11:48:00,3
2022-03-15 11:50:00,2
2022-03-15 11:50:00,1
2022-03-15 11:50:00,0
2022-03-15 12:49:00,1
2022-03-15 12:49:00,2
2022-03-15 12:49:00,3
2022-03-15 13:27:00,2
2022-03-15 13:37:00,3
2022-03-15 14:47:00,2
2022-03-15 14:56:00,3
2022-03-15 17:02:00,2
2022-03-15 17:10:00,1
2022-03-15 17:12:00,2
2022-03-15 17:15:00,3
2022-03-15 17:41:00,2
2022-03-15 17:43:00,3
2022-03-15 18:31:00,2
2022-03-15 18:32:00,1
2022-03-15 18:48:00,0
2022-03-16 08:55:00,1
2022-03-16 08:57:00,2
2022-03-16 08:57:00,3
2022-03-16 10:25:00,2
2022-03-16 10:33:00,3
2022-03-16 10:38:00,2
2022-03-16 10:42:00,3
2022-03-16 10:44:00,2
2022-03-16 10:47:00,3
2022-03-16 12:02:00,2
2022-03-16 12:02:00,1
2022-03-16 12:02:00,0
2022-03-16 13:00:00,1
2022-03-16 13:00:00,2
2022-03-16 13:00:00,3
2022-03-16 13:08:00,2
2022-03-16 13:08:00,3
2022-03-16 13:14:00,2
2022-03-16 13:26:00,3
2022-03-16 14:48:00,2
2022-03-16 14:59:00,3
2022-03-16 15:02:00,2
2022-03-16 15:04:00,3
2022-03-16 16:31:00,2
2022-03-16 16:33:00,1
2022-03-16 16:39:00,2
2022-03-16 16:39:00,3
2022-03-16 16:41:00,2
2022-03-16 16:54:00,3
2022-03-16 17:11:00,2
2022-03-16 18:49:00,1
2022-03-16 18:55:00,0
2022-03-17 09:10:00,1
2022-03-17 10:16:00,2
2022-03-17 11:17:00,1
2022-03-17 11:27:00,2
2022-03-17 11:46:00,3
2022-03-17 11:58:00,2
2022-03-17 12:01:00,1
2022-03-17 12:01:00,0
2022-03-17 12:50:00,1
2022-03-17 12:50:00,2
2022-03-17 12:50:00,3
2022-03-17 13:01:00,2
2022-03-17 13:06:00,3
2022-03-17 14:15:00,2
2022-03-17 14:23:00,3
2022-03-17 15:37:00,2
2022-03-17 16:23:00,1
2022-03-17 16:29:00,2
2022-03-17 17:40:00,1
2022-03-17 17:49:00,2
2022-03-17 21:04:00,1
2022-03-17 21:15:00,0
2022-03-17 21:15:00,1
2022-03-17 21:20:00,2
2022-03-17 22:11:00,1
2022-03-17 22:11:00,0
2022-03-18 10:05:00,1
2022-03-18 10:05:00,2
2022-03-18 10:27:00,1
2022-03-18 10:40:00,2
2022-03-18 10:52:00,1
2022-03-18 10:57:00,2
2022-03-18 11:01:00,3
2022-03-18 11:51:00,2
2022-03-18 11:51:00,1
