DATE,ACTIVITY
2022-03-11 13:51:00,Opened
2022-03-11 14:24:00,Closed
2022-03-12 17:28:00,Opened
2022-03-12 19:23:00,Closed
2022-03-14 08:52:00,Opened
2022-03-14 12:52:00,Closed
2022-03-15 09:40:00,Opened
2022-03-15 11:35:00,Closed
2022-03-15 16:50:00,Opened
2022-03-15 18:30:00,Closed
2022-03-16 13:01:00,Opened
2022-03-16 13:50:00,Closed
2022-03-17 09:10:00,Opened
2022-03-17 13:58:00,Closed
2022-03-17 16:26:00,Opened
2022-03-17 16:51:00,Closed
2022-03-17 19:25:00,Opened
2022-03-17 22:11:00,Closed
2022-03-18 14:30:00,Opened
2022-03-18 22:01:00,Closed
2022-03-19 11:20:00,Opened
2022-03-19 15:26:00,Closed
2022-03-22 09:24:00,Opened
2022-03-22 09:58:00,Closed
2022-03-23 10:50:00,Opened
2022-03-23 11:50:00,Closed
2022-03-24 09:07:00,Opened
2022-03-24 10:49:00,Closed
2022-03-24 17:59:00,Opened
2022-03-24 19:15:00,Closed
2022-03-25 09:09:00,Opened
2022-03-25 16:38:00,Closed
2022-03-25 18:49:00,Opened
2022-03-25 21:45:00,Closed
2022-03-26 09:38:00,Opened
2022-03-26 13:11:00,Closed
2022-03-26 17:53:00,Opened
2022-03-26 19:11:00,Closed
2022-03-27 11:08:00,Opened
2022-03-27 11:28:00,Closed
2022-03-27 16:04:00,Opened
2022-03-27 16:27:00,Closed
2022-03-28 07:41:00,Opened
2022-03-28 08:59:00,Closed
2022-03-28 15:42:00,Opened
2022-03-28 18:54:00,Closed
2022-03-29 07:50:00,Opened
2022-03-29 09:21:00,Closed
2022-03-29 12:59:00,Opened
2022-03-29 14:17:00,Closed
2022-03-29 18:49:00,Opened
2022-03-29 21:37:00,Closed
2022-03-30 08:15:00,Opened
2022-03-30 09:05:00,Closed
2022-03-30 12:08:00,Opened
2022-03-30 16:35:00,Closed
2022-03-31 09:15:00,Opened
2022-03-31 14:22:00,Closed
2022-03-31 17:37:00,Opened
2022-03-31 19:14:00,Closed
2022-04-01 09:36:00,Opened
2022-04-01 14:47:00,Closed
2022-04-01 17:11:00,Opened
2022-04-01 18:25:00,Closed
2022-04-02 10:23:00,Opened
2022-04-02 10:51:00,Closed
2022-04-02 18:28:00,Opened
2022-04-02 22:13:00,Closed
2022-04-03 14:27:00,Opened
2022-04-03 16:34:00,Closed
2022-04-03 18:52:00,Opened
2022-04-03 19:59:00,Closed
2022-04-04 08:16:00,Opened
2022-04-04 10:14:00,Closed
2022-04-04 13:09:00,Opened
2022-04-04 19:14:00,Closed
2022-04-05 08:13:00,Opened
2022-04-05 09:02:00,Closed
2022-04-05 13:03:00,Opened
2022-04-05 18:39:00,Closed
2022-04-05 19:55:00,Opened
2022-04-05 22:25:00,Closed
2022-04-06 08:12:00,Opened
2022-04-06 09:32:00,Closed
2022-04-06 14:49:00,Opened
2022-04-06 20:12:00,Closed
2022-04-06 23:42:00,Opened
2022-04-07 02:53:00,Closed
2022-04-07 08:57:00,Opened
2022-04-07 10:01:00,Closed
2022-04-07 15:57:00,Opened
2022-04-07 19:31:00,Closed
2022-04-08 13:02:00,Opened
2022-04-08 21:47:00,Closed
2022-04-09 09:46:00,Opened
2022-04-09 17:41:00,Closed
2022-04-09 17:42:00,Opened
2022-04-09 18:38:00,Closed
2022-04-10 18:06:00,Opened
2022-04-10 23:11:00,Closed
2022-04-11 08:50:00,Opened
2022-04-11 12:50:00,Closed
2022-04-11 18:29:00,Opened
2022-04-11 21:23:00,Closed
2022-04-12 08:07:00,Opened
2022-04-12 08:49:00,Closed
2022-04-12 11:49:00,Opened
2022-04-12 17:04:00,Closed
2022-04-12 18:19:00,Opened
2022-04-12 20:53:00,Closed
2022-04-12 22:00:00,Opened
2022-04-12 22:54:00,Closed
2022-04-13 07:33:00,Opened
2022-04-13 22:36:00,Closed
2022-04-14 08:16:00,Opened
2022-04-15 00:03:00,Closed
2022-04-15 10:14:00,Opened
