Freq (Hz),Gain (dB),Phase (deg)
10.058,-3.457,-92.935
10.803,-2.855,-92.867
11.735,-2.152,-92.787
12.666,-1.499,-92.784
13.597,-0.888,-92.728
14.715,-0.209,-92.693
15.832,0.426,-92.676
17.136,1.112,-92.623
18.44,1.747,-92.598
19.93,2.418,-92.58
21.607,3.113,-92.544
23.283,3.755,-92.518
25.146,4.417,-92.491
27.195,5.089,-92.466
29.244,5.711,-92.443
31.665,6.392,-92.425
34.086,7.023,-92.394
36.88,7.699,-92.377
39.861,8.364,-92.352
43.027,9.016,-92.337
46.38,9.655,-92.317
50.105,10.31,-92.301
54.203,10.977,-92.282
58.487,11.62,-92.264
63.144,12.268,-92.243
68.173,12.918,-92.246
73.574,13.568,-92.235
79.349,14.212,-92.229
85.682,14.72,-92.245
92.573,15.055,-92.235
100.024,15.324,-92.345
108.033,15.593,-93.032
116.602,15.788,-93.983
125.915,16.014,-95.934
135.973,16.205,-98.765
146.776,16.328,-102.601
158.511,16.418,-107.446
171.177,16.48,-112.714
184.774,16.505,-119.776
199.489,16.51,-126.291
215.508,16.515,-131.775
232.644,16.518,-136.421
251.271,16.52,-140.58
271.201,16.522,-144.254
292.808,16.524,-147.597
316.277,16.525,-150.657
341.423,16.526,-153.465
368.617,16.526,-156.03
398.047,16.526,-158.436
429.899,16.527,-160.667
464.171,16.527,-162.747
501.238,16.527,-164.698
541.098,16.527,-166.534
584.312,16.527,-168.274
630.878,16.527,-169.923
681.356,16.527,-171.506
735.559,16.527,-173.007
794.418,16.527,-174.46
857.748,16.527,-175.87
926.107,16.526,-177.249
1000.054,16.525,-178.591
