Freq (Hz),Gain (dB),Phase (deg)
10.058,15.791,155.367
10.803,15.762,153.981
11.735,15.724,152.243
12.666,15.684,150.531
13.597,15.642,148.839
14.715,15.589,146.864
15.832,15.536,144.929
17.136,15.471,142.715
18.44,15.404,140.552
19.93,15.323,138.119
21.607,15.225,135.422
23.283,15.117,132.778
25.146,14.97,130.086
27.195,14.781,127.266
29.244,14.533,124.806
31.665,14.136,122.249
34.086,13.563,119.967
36.88,12.908,117.737
39.861,12.241,115.686
43.027,11.571,113.811
46.38,10.909,112.155
50.105,10.225,110.58
54.203,9.527,109.097
58.487,8.851,107.794
63.144,8.172,106.586
68.173,7.494,105.484
73.574,6.82,104.468
79.349,6.154,103.543
85.682,5.481,102.678
92.573,4.809,101.866
100.024,4.138,101.132
108.033,3.475,100.446
116.602,2.82,99.831
125.915,2.162,99.252
135.973,1.506,98.712
146.776,0.855,98.215
158.511,0.203,97.763
171.177,-0.448,97.326
184.774,-1.094,96.928
199.489,-1.742,96.558
215.508,-2.394,96.204
232.644,-3.04,95.884
251.271,-3.691,95.58
271.201,-4.335,95.298
292.808,-4.981,95.032
316.277,-5.631,94.781
341.423,-6.275,94.55
368.617,-6.92,94.329
398.047,-7.566,94.12
429.899,-8.214,93.923
464.171,-8.859,93.739
501.238,-9.505,93.564
541.098,-10.148,93.399
584.312,-10.795,93.243
630.878,-11.44,93.095
681.356,-12.089,92.955
735.559,-12.735,92.819
794.418,-13.386,92.694
857.748,-14.035,92.573
926.107,-14.684,92.455
1000.054,-15.333,92.348
